employee,day_of_week,avg_count
allen-p,0,5.0
allen-p,1,3.0
allen-p,2,1.0
allen-p,3,2.5
allen-p,4,1.2
allen-p,5,1.0
allen-p,6,2.5
arnold-j,0,5.222222222222222
arnold-j,1,2.5454545454545454
arnold-j,2,1.3846153846153846
arnold-j,3,1.6
arnold-j,4,2.625
arnold-j,5,1.3333333333333333
arnold-j,6,1.6
arora-h,0,4.0
arora-h,1,2.8
arora-h,2,2.0
arora-h,3,2.2
arora-h,4,1.8
arora-h,5,2.5
arora-h,6,1.3333333333333333
badeer-r,2,1.0
badeer-r,3,2.0
bailey-s,0,1.0
bailey-s,3,1.0
bailey-s,4,1.0
bass-e,0,5.090909090909091
bass-e,1,5.6923076923076925
bass-e,2,6.583333333333333
bass-e,3,4.2727272727272725
bass-e,4,3.0
bass-e,5,2.6666666666666665
bass-e,6,1.6666666666666667
baughman-d,0,6.666666666666667
baughman-d,1,6.75
baughman-d,2,6.0
baughman-d,3,7.222222222222222
baughman-d,4,4.1
baughman-d,5,3.4
baughman-d,6,3.857142857142857
beck-s,0,8.052631578947368
beck-s,1,7.454545454545454
beck-s,2,8.842105263157896
beck-s,3,6.157894736842105
beck-s,4,7.277777777777778
beck-s,5,1.3333333333333333
beck-s,6,1.2727272727272727
benson-r,0,2.857142857142857
benson-r,1,3.1333333333333333
benson-r,2,3.7857142857142856
benson-r,3,4.230769230769231
benson-r,4,4.0
benson-r,5,1.0
benson-r,6,2.6666666666666665
blair-l,0,5.769230769230769
blair-l,1,2.5384615384615383
blair-l,2,4.125
blair-l,3,3.6666666666666665
blair-l,4,3.933333333333333
blair-l,5,2.5
blair-l,6,3.0
brawner-s,0,2.888888888888889
brawner-s,1,2.7142857142857144
brawner-s,2,1.7692307692307692
brawner-s,3,1.75
brawner-s,4,1.875
brawner-s,6,1.0
buy-r,0,8.916666666666666
buy-r,1,8.535714285714286
buy-r,2,9.37037037037037
buy-r,3,7.52
buy-r,4,8.192307692307692
buy-r,5,2.0
buy-r,6,2.5
campbell-l,0,9.782608695652174
campbell-l,1,8.72
campbell-l,2,9.68
campbell-l,3,10.833333333333334
campbell-l,4,9.458333333333334
campbell-l,5,2.909090909090909
campbell-l,6,3.3333333333333335
carson-m,0,2.7
carson-m,1,3.1666666666666665
carson-m,2,2.5384615384615383
carson-m,3,2.75
carson-m,4,1.8571428571428572
carson-m,5,1.0
carson-m,6,1.1666666666666667
cash-m,0,5.466666666666667
cash-m,1,5.466666666666667
cash-m,2,3.4
cash-m,3,3.25
cash-m,4,2.933333333333333
cash-m,5,1.6666666666666667
cash-m,6,3.25
causholli-m,0,4.25
causholli-m,1,6.125
causholli-m,2,4.5
causholli-m,3,6.0
causholli-m,4,5.6
causholli-m,5,2.0
causholli-m,6,1.5
corman-s,0,5.6
corman-s,1,2.25
corman-s,2,2.0
corman-s,3,2.4
corman-s,4,2.0
corman-s,5,1.0
corman-s,6,1.0
crandell-s,0,2.0
crandell-s,1,2.75
crandell-s,2,2.473684210526316
crandell-s,3,1.962962962962963
crandell-s,4,2.3181818181818183
crandell-s,5,1.0
crandell-s,6,1.0
cuilla-m,0,3.0
cuilla-m,1,1.5
cuilla-m,2,1.6666666666666667
cuilla-m,3,1.25
cuilla-m,4,1.3333333333333333
cuilla-m,5,1.0
cuilla-m,6,1.25
dasovich-j,0,16.555555555555557
dasovich-j,1,15.411764705882353
dasovich-j,2,17.61111111111111
dasovich-j,3,14.470588235294118
dasovich-j,4,12.0
dasovich-j,5,1.75
dasovich-j,6,3.0
davis-d,0,2.5
davis-d,1,3.142857142857143
davis-d,2,2.6666666666666665
davis-d,3,4.5
davis-d,4,2.6666666666666665
davis-d,5,1.0
davis-d,6,1.0
dean-c,0,12.785714285714286
dean-c,1,10.23076923076923
dean-c,2,10.6
dean-c,3,11.538461538461538
dean-c,4,11.923076923076923
dean-c,5,19.6
dean-c,6,16.166666666666668
delainey-d,0,1.6666666666666667
delainey-d,1,1.0
delainey-d,2,1.0
delainey-d,3,1.5
delainey-d,4,1.6666666666666667
delainey-d,6,1.0
derrick-j,0,2.625
derrick-j,1,4.909090909090909
derrick-j,2,2.2941176470588234
derrick-j,3,2.4375
derrick-j,4,3.176470588235294
derrick-j,5,1.0
derrick-j,6,1.5
donoho-l,0,5.636363636363637
donoho-l,1,4.333333333333333
donoho-l,2,3.6666666666666665
donoho-l,3,4.833333333333333
donoho-l,4,2.5454545454545454
donoho-l,5,1.5
donoho-l,6,1.5
donohoe-t,0,4.75
donohoe-t,1,4.833333333333333
donohoe-t,2,4.0588235294117645
donohoe-t,3,6.642857142857143
donohoe-t,4,5.2
donohoe-t,5,1.0
donohoe-t,6,2.6
dorland-c,0,5.333333333333333
dorland-c,1,2.142857142857143
dorland-c,2,3.142857142857143
dorland-c,3,1.8
dorland-c,4,2.75
ermis-f,0,6.0
ermis-f,1,6.0
ermis-f,2,6.5
ermis-f,3,7.0
ermis-f,4,7.7272727272727275
ermis-f,5,1.25
ermis-f,6,1.7
farmer-d,0,2.3636363636363638
farmer-d,1,1.75
farmer-d,2,1.8571428571428572
farmer-d,3,1.5714285714285714
farmer-d,4,1.8
farmer-d,5,1.0
farmer-d,6,1.0
fischer-m,0,2.8333333333333335
fischer-m,1,1.0
fischer-m,2,3.25
fischer-m,3,2.0
fischer-m,4,2.4
fischer-m,6,1.0
forney-j,0,5.714285714285714
forney-j,1,5.571428571428571
forney-j,2,3.8
forney-j,3,5.0
forney-j,4,3.142857142857143
forney-j,5,1.5
forney-j,6,1.0
gang-l,0,6.666666666666667
gang-l,1,2.0
gang-l,2,3.0
gang-l,3,1.6
gang-l,4,1.5
gay-r,0,3.4
gay-r,1,4.333333333333333
gay-r,2,1.8333333333333333
gay-r,3,3.0
gay-r,4,1.6666666666666667
gay-r,6,2.0
geaccone-t,0,8.470588235294118
geaccone-t,1,7.611111111111111
geaccone-t,2,5.444444444444445
geaccone-t,3,6.375
geaccone-t,4,4.8125
geaccone-t,5,1.0
geaccone-t,6,1.5
germany-c,0,4.411764705882353
germany-c,1,4.894736842105263
germany-c,2,3.7777777777777777
germany-c,3,2.7333333333333334
germany-c,4,2.8666666666666667
germany-c,5,1.0
germany-c,6,1.0
gilbertsmith-d,0,7.666666666666667
gilbertsmith-d,1,5.571428571428571
gilbertsmith-d,2,8.6
gilbertsmith-d,3,4.0
gilbertsmith-d,4,3.3333333333333335
gilbertsmith-d,5,1.0
gilbertsmith-d,6,1.0
giron-d,0,3.9565217391304346
giron-d,1,2.8260869565217392
giron-d,2,3.1739130434782608
giron-d,3,3.1363636363636362
giron-d,4,2.64
giron-d,5,1.4
giron-d,6,1.0
griffith-j,0,2.8
griffith-j,1,2.2
griffith-j,2,3.0
griffith-j,3,1.0
griffith-j,4,1.0
griffith-j,6,1.0
grigsby-m,0,4.166666666666667
grigsby-m,1,6.0
grigsby-m,2,1.3333333333333333
grigsby-m,3,4.0
grigsby-m,4,5.0
grigsby-m,5,3.0
grigsby-m,6,3.0
haedicke-m,0,9.307692307692308
haedicke-m,1,9.583333333333334
haedicke-m,2,10.916666666666666
haedicke-m,3,7.333333333333333
haedicke-m,4,9.416666666666666
haedicke-m,5,2.4
haedicke-m,6,2.857142857142857
harris-s,0,3.6
harris-s,1,2.3333333333333335
harris-s,2,1.0
harris-s,3,10.0
harris-s,4,7.5
harris-s,5,1.5
hayslett-r,0,11.0
hayslett-r,1,10.5
hayslett-r,2,9.428571428571429
hayslett-r,3,5.0
hayslett-r,4,6.0
hayslett-r,5,1.5
hayslett-r,6,4.0
heard-m,0,5.6923076923076925
heard-m,1,6.3076923076923075
heard-m,2,5.8
heard-m,3,5.777777777777778
heard-m,4,3.6666666666666665
heard-m,5,1.0
heard-m,6,2.0
hendrickson-s,0,5.333333333333333
hendrickson-s,1,2.25
hendrickson-s,2,4.25
hendrickson-s,3,3.75
hendrickson-s,4,4.6
hendrickson-s,6,1.3333333333333333
hernandez-j,0,4.4
hernandez-j,1,3.1052631578947367
hernandez-j,2,3.6
hernandez-j,3,3.0
hernandez-j,4,3.1
hernandez-j,6,1.8888888888888888
hodge-j,0,6.181818181818182
hodge-j,1,5.52
hodge-j,2,5.6
hodge-j,3,4.9523809523809526
hodge-j,4,4.12
hodge-j,5,1.0
hodge-j,6,1.875
holst-k,0,3.6666666666666665
holst-k,1,3.6
holst-k,2,3.0
holst-k,3,3.4444444444444446
holst-k,4,3.5
holst-k,5,1.25
holst-k,6,2.0
horton-s,0,3.0
horton-s,1,2.75
horton-s,2,1.75
horton-s,3,3.4
horton-s,4,5.5
horton-s,6,2.0
hyatt-k,0,1.2857142857142858
hyatt-k,1,1.8571428571428572
hyatt-k,2,1.2
hyatt-k,3,1.25
hyatt-k,4,1.5714285714285714
hyatt-k,5,1.0
hyatt-k,6,3.0
jones-t,0,17.083333333333332
jones-t,1,14.615384615384615
jones-t,2,15.692307692307692
jones-t,3,14.0
jones-t,4,13.75
jones-t,5,1.5
jones-t,6,1.0
kaminski-v,0,3.5172413793103448
kaminski-v,1,4.107142857142857
kaminski-v,2,3.7777777777777777
kaminski-v,3,3.9285714285714284
kaminski-v,4,3.9583333333333335
kaminski-v,5,1.0
kaminski-v,6,1.8125
kean-s,0,7.25
kean-s,1,6.0
kean-s,2,3.0
kean-s,3,4.0
kean-s,4,4.5
kean-s,6,3.0
keavey-p,0,5.75
keavey-p,1,7.928571428571429
keavey-p,2,8.23076923076923
keavey-p,3,6.384615384615385
keavey-p,4,7.357142857142857
keavey-p,5,1.0
keavey-p,6,4.0
keiser-k,0,17.75
keiser-k,1,13.333333333333334
keiser-k,2,12.142857142857142
keiser-k,3,14.0
keiser-k,4,13.8
keiser-k,5,1.0
keiser-k,6,1.0
king-j,0,2.25
king-j,1,2.6
king-j,2,3.3333333333333335
king-j,3,1.0
king-j,4,1.0
king-j,6,1.0
kitchen-l,0,7.25
kitchen-l,1,3.3333333333333335
kitchen-l,2,11.666666666666666
kitchen-l,3,2.0
kitchen-l,4,1.375
kuykendall-t,0,3.75
kuykendall-t,1,1.2
kuykendall-t,2,1.75
kuykendall-t,3,4.0
kuykendall-t,4,1.8333333333333333
kuykendall-t,5,1.0
kuykendall-t,6,1.5
lavorato-j,0,7.285714285714286
lavorato-j,1,7.0
lavorato-j,2,7.714285714285714
lavorato-j,3,11.75
lavorato-j,4,6.857142857142857
lavorato-j,5,7.0
lavorato-j,6,2.3333333333333335
lay-k,0,11.045454545454545
lay-k,1,12.894736842105264
lay-k,2,12.904761904761905
lay-k,3,11.521739130434783
lay-k,4,14.55
lay-k,5,2.3076923076923075
lay-k,6,2.3333333333333335
lenhart-m,0,1.6666666666666667
lenhart-m,1,3.1666666666666665
lenhart-m,2,1.0
lenhart-m,3,1.5
lenhart-m,4,2.6666666666666665
lenhart-m,6,1.0
lewis-a,0,2.3333333333333335
lewis-a,1,1.9333333333333333
lewis-a,2,1.8235294117647058
lewis-a,3,2.3636363636363638
lewis-a,4,5.0
lewis-a,5,1.3333333333333333
lewis-a,6,1.125
lokay-m,0,3.3333333333333335
lokay-m,1,2.0
lokay-m,2,1.2222222222222223
lokay-m,3,1.0
lokay-m,4,1.25
lokay-m,5,1.0
lokay-m,6,1.0
lokey-t,0,6.125
lokey-t,1,10.428571428571429
lokey-t,2,10.466666666666667
lokey-t,3,12.666666666666666
lokey-t,4,9.214285714285714
lokey-t,5,1.5
lokey-t,6,1.6666666666666667
love-p,0,4.363636363636363
love-p,1,4.0
love-p,2,5.375
love-p,3,3.3333333333333335
love-p,4,1.5555555555555556
love-p,6,1.0
lucci-p,0,3.2
lucci-p,1,2.888888888888889
lucci-p,2,2.8
lucci-p,3,2.625
lucci-p,4,1.9
lucci-p,5,2.3333333333333335
lucci-p,6,1.0
maggi-m,0,3.4285714285714284
maggi-m,1,2.7777777777777777
maggi-m,2,4.0
maggi-m,3,1.5
maggi-m,4,2.75
maggi-m,6,1.0
mann-k,0,7.4
mann-k,1,6.454545454545454
mann-k,2,7.714285714285714
mann-k,3,8.2
mann-k,4,5.444444444444445
mann-k,5,1.75
mann-k,6,1.6
martin-t,0,4.05
martin-t,1,5.090909090909091
martin-t,2,4.333333333333333
martin-t,3,4.095238095238095
martin-t,4,3.391304347826087
martin-t,6,1.0
may-l,0,6.555555555555555
may-l,1,8.357142857142858
may-l,2,7.535714285714286
may-l,3,7.884615384615385
may-l,4,8.11111111111111
may-l,5,1.0
may-l,6,2.3125
mccarty-d,0,3.857142857142857
mccarty-d,1,2.5
mccarty-d,2,1.8333333333333333
mccarty-d,3,3.25
mccarty-d,4,2.6
mcconnell-m,0,4.25
mcconnell-m,1,1.6666666666666667
mcconnell-m,2,2.25
mcconnell-m,3,4.666666666666667
mcconnell-m,4,3.8
mcconnell-m,5,1.0
mcconnell-m,6,2.0
mckay-b,0,3.3333333333333335
mckay-b,1,2.1666666666666665
mckay-b,2,2.6666666666666665
mckay-b,3,5.0
mckay-b,4,2.4
mckay-b,5,1.0
mckay-b,6,1.0
mckay-j,0,3.0
mckay-j,1,2.0
mckay-j,2,3.5
mclaughlin-e,0,3.2142857142857144
mclaughlin-e,1,4.142857142857143
mclaughlin-e,2,5.461538461538462
mclaughlin-e,3,4.928571428571429
mclaughlin-e,4,3.5714285714285716
mclaughlin-e,6,2.5
meyers-a,0,1.0
meyers-a,1,4.0
meyers-a,2,15.0
meyers-a,3,1.0
meyers-a,4,1.0
mims-thurston-p,0,5.473684210526316
mims-thurston-p,1,3.4444444444444446
mims-thurston-p,2,5.133333333333334
mims-thurston-p,3,3.388888888888889
mims-thurston-p,4,2.2941176470588234
mims-thurston-p,6,1.25
motley-m,0,2.0
motley-m,1,3.1666666666666665
motley-m,2,2.0
motley-m,3,3.6
motley-m,4,4.0
motley-m,5,1.0
motley-m,6,1.0
neal-s,0,3.8461538461538463
neal-s,1,4.0
neal-s,2,4.071428571428571
neal-s,3,4.111111111111111
neal-s,4,3.5384615384615383
neal-s,5,1.3333333333333333
neal-s,6,1.4
nemec-g,0,11.75
nemec-g,1,10.586206896551724
nemec-g,2,10.233333333333333
nemec-g,3,8.964285714285714
nemec-g,4,8.448275862068966
nemec-g,5,1.1428571428571428
nemec-g,6,1.7272727272727273
panus-s,0,1.7142857142857142
panus-s,1,1.0
panus-s,2,1.3333333333333333
panus-s,3,1.0
panus-s,4,1.0
parks-j,0,5.2592592592592595
parks-j,1,4.241379310344827
parks-j,2,5.6
parks-j,3,4.206896551724138
parks-j,4,3.7586206896551726
parks-j,5,1.6666666666666667
parks-j,6,1.0
pereira-s,0,2.25
pereira-s,1,2.0
pereira-s,2,1.5
pereira-s,3,3.5
pereira-s,4,2.0
perlingiere-d,0,1.7777777777777777
perlingiere-d,1,2.0
perlingiere-d,2,1.25
perlingiere-d,3,2.7777777777777777
perlingiere-d,4,2.2222222222222223
perlingiere-d,5,1.0
perlingiere-d,6,1.5
phanis-s,0,2.0
phanis-s,3,2.5
phanis-s,4,2.0
phanis-s,6,1.0
pimenov-v,0,3.7142857142857144
pimenov-v,1,3.357142857142857
pimenov-v,2,3.1666666666666665
pimenov-v,3,2.909090909090909
pimenov-v,4,2.3636363636363638
pimenov-v,6,1.6666666666666667
platter-p,0,3.8947368421052633
platter-p,1,3.3333333333333335
platter-p,2,4.8
platter-p,3,3.6666666666666665
platter-p,4,3.8666666666666667
platter-p,5,1.8333333333333333
platter-p,6,1.4
presto-k,0,10.0
presto-k,1,12.5
presto-k,2,5.0
quenet-j,0,4.5
quenet-j,1,4.0
quigley-d,0,2.375
quigley-d,1,2.0
quigley-d,2,3.0
quigley-d,3,2.3333333333333335
quigley-d,4,2.3
quigley-d,5,1.0
quigley-d,6,1.0
rapp-b,0,7.166666666666667
rapp-b,1,5.333333333333333
rapp-b,2,4.615384615384615
rapp-b,3,5.3
rapp-b,4,4.583333333333333
rapp-b,5,2.0
rapp-b,6,1.6666666666666667
reitmeyer-j,0,5.142857142857143
reitmeyer-j,1,5.769230769230769
reitmeyer-j,2,6.25
reitmeyer-j,3,4.916666666666667
reitmeyer-j,4,3.7857142857142856
reitmeyer-j,5,1.6666666666666667
reitmeyer-j,6,1.8571428571428572
richey-c,0,3.2
richey-c,1,2.0
richey-c,2,4.25
richey-c,3,1.0
richey-c,4,2.4
richey-c,5,1.0
richey-c,6,2.0
ring-a,0,1.8888888888888888
ring-a,1,2.6666666666666665
ring-a,2,2.3333333333333335
ring-a,3,1.875
ring-a,4,1.1111111111111112
ring-a,6,1.0
ring-r,0,11.5
ring-r,1,3.0
ring-r,2,18.0
ring-r,3,11.0
ring-r,4,6.5
ring-r,6,1.5
rogers-b,0,6.25
rogers-b,1,8.125
rogers-b,2,4.818181818181818
rogers-b,3,6.0
rogers-b,4,9.25
rogers-b,5,1.5
rogers-b,6,1.1428571428571428
ruscitti-k,0,3.9411764705882355
ruscitti-k,1,5.333333333333333
ruscitti-k,2,3.1666666666666665
ruscitti-k,3,3.0
ruscitti-k,4,3.6153846153846154
ruscitti-k,5,1.0
ruscitti-k,6,1.3
sager-e,0,8.5
sager-e,1,10.0
sager-e,2,8.0
sager-e,3,8.117647058823529
sager-e,4,6.5625
sager-e,5,1.25
sager-e,6,2.1666666666666665
saibi-e,0,8.95
saibi-e,1,9.2
saibi-e,2,9.523809523809524
saibi-e,3,10.095238095238095
saibi-e,4,7.809523809523809
saibi-e,5,1.8235294117647058
saibi-e,6,2.111111111111111
salisbury-h,0,6.242424242424242
salisbury-h,1,6.205882352941177
salisbury-h,2,6.742857142857143
salisbury-h,3,7.676470588235294
salisbury-h,4,6.212121212121212
salisbury-h,5,1.8
salisbury-h,6,1.8461538461538463
sanchez-m,0,8.333333333333334
sanchez-m,1,4.5
sanchez-m,2,4.5
sanchez-m,3,3.0
sanchez-m,4,5.333333333333333
sanchez-m,6,2.0
sanders-r,0,7.75
sanders-r,1,2.5714285714285716
sanders-r,2,2.5
sanders-r,3,1.1666666666666667
sanders-r,4,2.6666666666666665
sanders-r,5,1.0
sanders-r,6,1.25
scholtes-d,0,1.0
scholtes-d,1,2.0
scholtes-d,2,3.0
scholtes-d,3,2.0
scholtes-d,4,1.0
scholtes-d,6,1.0
schoolcraft-d,0,5.333333333333333
schoolcraft-d,1,2.4285714285714284
schoolcraft-d,2,1.7272727272727273
schoolcraft-d,3,2.8333333333333335
schoolcraft-d,4,1.4285714285714286
schwieger-j,0,1.3333333333333333
schwieger-j,1,1.5
schwieger-j,2,2.0
schwieger-j,3,2.0
schwieger-j,4,4.0
scott-s,0,3.5555555555555554
scott-s,1,3.12
scott-s,2,3.375
scott-s,3,2.642857142857143
scott-s,4,2.36
scott-s,5,1.0
scott-s,6,1.7142857142857142
semperger-c,2,7.0
semperger-c,3,1.0
shackleton-s,0,8.0
shackleton-s,1,8.538461538461538
shackleton-s,2,8.481481481481481
shackleton-s,3,7.576923076923077
shackleton-s,4,5.857142857142857
shackleton-s,5,2.5
shackleton-s,6,1.2857142857142858
shankman-j,0,5.375
shankman-j,1,6.2
shankman-j,2,1.5714285714285714
shankman-j,3,3.6666666666666665
shankman-j,4,2.6666666666666665
shankman-j,5,3.0
shankman-j,6,1.0
shapiro-r,0,4.0
shapiro-r,1,2.3333333333333335
shapiro-r,2,1.0
shapiro-r,3,1.0
shapiro-r,4,1.5
shapiro-r,6,1.0
shively-h,0,3.0
shively-h,1,3.4
shively-h,2,2.230769230769231
shively-h,3,3.0
shively-h,4,2.111111111111111
shively-h,6,1.0
skilling-j,0,7.733333333333333
skilling-j,1,8.2
skilling-j,2,7.966666666666667
skilling-j,3,8.129032258064516
skilling-j,4,7.333333333333333
skilling-j,5,1.5833333333333333
skilling-j,6,2.0952380952380953
slinger-r,0,1.0
slinger-r,1,1.2
slinger-r,2,1.3333333333333333
slinger-r,3,2.5714285714285716
slinger-r,4,1.3333333333333333
slinger-r,6,2.0
smith-m,0,4.473684210526316
smith-m,1,5.631578947368421
smith-m,2,5.8
smith-m,3,3.611111111111111
smith-m,4,3.789473684210526
smith-m,5,1.375
smith-m,6,2.7777777777777777
solberg-g,0,4.7
solberg-g,1,4.6
solberg-g,2,4.7272727272727275
solberg-g,3,1.5
solberg-g,4,1.75
staab-t,0,2.3333333333333335
staab-t,1,3.625
staab-t,2,3.142857142857143
staab-t,3,1.2857142857142858
staab-t,4,1.25
staab-t,5,1.0
staab-t,6,3.0
steffes-j,0,19.142857142857142
steffes-j,1,11.5
steffes-j,2,9.333333333333334
steffes-j,3,9.0
steffes-j,4,8.88888888888889
steffes-j,5,1.75
steffes-j,6,2.0
stepenovitch-j,0,6.363636363636363
stepenovitch-j,1,4.625
stepenovitch-j,2,2.857142857142857
stepenovitch-j,3,4.428571428571429
stepenovitch-j,4,2.857142857142857
stepenovitch-j,5,1.6666666666666667
stepenovitch-j,6,2.1666666666666665
storey-g,0,2.7142857142857144
storey-g,1,3.0
storey-g,2,2.4615384615384617
storey-g,3,1.1666666666666667
storey-g,4,2.111111111111111
storey-g,5,1.0
storey-g,6,1.6666666666666667
sturm-f,0,7.0
sturm-f,1,6.4
sturm-f,2,5.833333333333333
sturm-f,3,9.333333333333334
sturm-f,4,6.25
sturm-f,6,2.0
swerzbin-m,0,2.2
swerzbin-m,1,2.764705882352941
swerzbin-m,2,3.0476190476190474
swerzbin-m,3,3.0588235294117645
swerzbin-m,4,2.8333333333333335
swerzbin-m,5,1.0
swerzbin-m,6,1.25
taylor-m,0,7.0
taylor-m,1,3.8125
taylor-m,2,4.785714285714286
taylor-m,3,5.538461538461538
taylor-m,4,5.083333333333333
taylor-m,5,1.5
taylor-m,6,1.6
tholt-j,0,4.2
tholt-j,1,5.0
tholt-j,2,3.8
tholt-j,3,5.0
tholt-j,4,2.0
tholt-j,6,1.3333333333333333
thomas-p,0,4.3478260869565215
thomas-p,1,5.5
thomas-p,2,3.608695652173913
thomas-p,3,2.857142857142857
thomas-p,4,3.1875
thomas-p,5,2.6666666666666665
thomas-p,6,1.75
townsend-j,0,4.166666666666667
townsend-j,1,3.5294117647058822
townsend-j,2,3.0714285714285716
townsend-j,3,3.076923076923077
townsend-j,4,2.25
townsend-j,5,1.0
townsend-j,6,1.8333333333333333
tycholiz-b,0,4.269230769230769
tycholiz-b,1,3.5
tycholiz-b,2,3.310344827586207
tycholiz-b,3,3.7241379310344827
tycholiz-b,4,3.3870967741935485
tycholiz-b,5,1.0
tycholiz-b,6,1.25
ward-k,0,6.285714285714286
ward-k,1,3.6
ward-k,2,3.076923076923077
ward-k,3,3.357142857142857
ward-k,4,2.2142857142857144
ward-k,5,2.0
ward-k,6,1.75
watson-k,0,6.571428571428571
watson-k,1,5.222222222222222
watson-k,2,4.705882352941177
watson-k,3,5.5
watson-k,4,4.0
watson-k,5,1.1666666666666667
watson-k,6,1.0
weldon-c,0,2.2
weldon-c,1,2.5
weldon-c,2,2.0
weldon-c,3,1.2
weldon-c,4,3.5
weldon-c,6,1.0
whalley-g,0,8.846153846153847
whalley-g,1,7.857142857142857
whalley-g,2,7.818181818181818
whalley-g,3,4.642857142857143
whalley-g,4,5.545454545454546
whalley-g,5,2.75
whalley-g,6,2.0
white-s,0,6.363636363636363
white-s,1,4.384615384615385
white-s,2,8.363636363636363
white-s,3,6.090909090909091
white-s,4,6.6923076923076925
white-s,5,1.0
white-s,6,2.0
whitt-m,0,8.923076923076923
whitt-m,1,6.666666666666667
whitt-m,2,7.083333333333333
whitt-m,3,7.076923076923077
whitt-m,4,5.333333333333333
whitt-m,5,1.0
whitt-m,6,2.0
williams-j,0,4.153846153846154
williams-j,1,4.071428571428571
williams-j,2,3.090909090909091
williams-j,3,3.076923076923077
williams-j,4,3.8333333333333335
williams-j,5,1.3333333333333333
williams-j,6,1.375
williams-w3,0,4.0
williams-w3,1,6.4
williams-w3,2,8.4
williams-w3,3,2.857142857142857
williams-w3,4,2.6
williams-w3,5,2.0
williams-w3,6,1.5
wolfe-j,0,6.666666666666667
wolfe-j,1,7.454545454545454
wolfe-j,2,4.4
wolfe-j,3,4.545454545454546
wolfe-j,4,5.416666666666667
wolfe-j,5,1.75
wolfe-j,6,2.0
ybarbo-p,0,5.380952380952381
ybarbo-p,1,5.7368421052631575
ybarbo-p,2,6.235294117647059
ybarbo-p,3,6.45
ybarbo-p,4,6.705882352941177
ybarbo-p,5,1.7
ybarbo-p,6,1.8461538461538463
zipper-a,0,4.111111111111111
zipper-a,1,4.25
zipper-a,2,4.6
zipper-a,3,5.125
zipper-a,4,5.111111111111111
zipper-a,6,2.0
zufferli-j,0,5.0
zufferli-j,1,4.0
zufferli-j,2,4.4
zufferli-j,3,1.5
zufferli-j,4,2.5
